"Value","Footprint","JLCPCB Part Number",
"JST_PH2.0_01x04","","C157926"
"100nF","","C28378"
"220nF","","C1770"
"1uF","","C5422"
"10uF","","C1713"
"22uF","","C29277"
"D_Schottky","","C669023"
"D_TSV0","","C83323"
"LED","","C84256"
"D_TSV1","","C460442"
"FerriteBead_Small","","C424242"
"USB_C_Receptacle_USB2.0_16P","","C393939"
"GPIO0","",""
"GPIO1","",""
"2.2kR","","C17520"
"100R","","C17408"
"5.1kR","","C26023"
"10kR","","C17414"
"270R","","C17590"
